County Name,Census Tract,"Total Population, 2010","Persons per Square Mile, 2010","Total Housing Units, 2010","Occupied Housing Units, 2010","Vacant Housing Units, 2010","Occupancy Rate, percent, 2010","Vacancy Rate, percent, 2010","Land Area, Square Miles, 2010","Total Area, Square Miles, 2010","Water Area, percent, 2010"
King County,100,6255,8479.27,3443,3146,297,91.37,8.63,0.74,1.31,43.76
King County,200,7646,6025.91,3698,3499,199,94.62,5.38,1.27,1.27,0
King County,300,2603,5569.31,1161,1090,71,93.88,6.12,0.47,0.47,0
King County,401,5551,11215.41,3714,3134,580,84.38,15.62,0.49,0.53,6
King County,402,4841,6969.75,2453,2317,136,94.46,5.54,0.69,0.69,0
King County,500,3165,2843.42,1347,1289,58,95.69,4.31,1.11,1.47,24.44
King County,600,7626,5220.03,3538,3345,193,94.54,5.46,1.46,1.48,1.41
King County,700,4438,8878.19,2293,2114,179,92.19,7.81,0.5,0.5,0
King County,800,2583,5860.21,1086,1033,53,95.12,4.88,0.44,0.44,0
King County,900,2019,5247.77,906,836,70,92.27,7.73,0.38,1.36,71.75
King County,1000,1941,5267.04,802,765,37,95.39,4.61,0.37,0.37,0
King County,1100,2503,6113.38,1135,1058,77,93.22,6.78,0.41,0.41,0
King County,1200,6494,9170.61,3681,3418,263,92.86,7.14,0.71,0.71,0
King County,1300,4340,9493.79,2288,2131,157,93.14,6.86,0.46,0.46,0
King County,1400,4848,5874.83,2307,2172,135,94.15,5.85,0.83,0.91,9
King County,1500,2454,5430.07,1125,1072,53,95.29,4.71,0.45,0.61,25.4
King County,1600,4131,5242.1,1847,1777,70,96.21,3.79,0.79,0.96,18.32
King County,1701,3818,11076.27,2051,1931,120,94.15,5.85,0.34,0.34,0
King County,1702,4234,8565.71,2008,1911,97,95.17,4.83,0.49,0.49,0
King County,1800,4535,12455.91,2292,2136,156,93.19,6.81,0.36,0.36,0
King County,1900,4157,6473.21,2248,1889,359,84.03,15.97,0.64,0.64,0
King County,2000,3406,7995.62,1679,1568,111,93.39,6.61,0.43,0.44,2.53
King County,2100,3807,7221.03,1770,1678,92,94.8,5.2,0.53,0.53,0
King County,2200,5286,4946.12,2271,2131,140,93.84,6.16,1.07,1.64,34.97
King County,2400,2972,7869.77,1294,1244,50,96.14,3.86,0.38,0.38,0
King County,2500,2802,7372.65,1300,1245,55,95.77,4.23,0.38,0.38,0
King County,2600,4660,9920.09,2052,1940,112,94.54,5.46,0.47,0.48,2.26
King County,2700,5289,8594.97,2408,2257,151,93.73,6.27,0.62,0.62,0
King County,2800,4481,11801.8,2229,2114,115,94.84,5.16,0.38,0.38,0
King County,2900,4177,10969.68,1923,1843,80,95.84,4.16,0.38,0.38,0
King County,3000,5637,9777.18,2502,2407,95,96.2,3.8,0.58,0.58,0
King County,3100,6219,7213.68,2726,2638,88,96.77,3.23,0.86,1.04,17.25
King County,3200,7683,8039.81,4250,4021,229,94.61,5.39,0.96,1.35,29.08
King County,3300,6224,12434.81,3219,3071,148,95.4,4.6,0.5,0.5,0
King County,3400,3302,10864.73,1543,1468,75,95.14,4.86,0.3,0.3,0
